Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idle,-25,105,-237,22,2,-25,-28,106,-243,28,-14,-33,-29,105,-247,34,13,-28,-27,104,-245,8,14,-19,-25,108,-239,36,10,-14,-26,105,-239,18,-2,0,-27,104,-244,12,2,1,-29,106,-245,13,41,-13,-28,105,-244,0,35,-22,-25,106,-240,15,25,-6,-28,103,-242,25,17,-18,-25,106,-242,25,18,-23,-26,108,-240,47,11,-21,-25,105,-242,39,-17,-9,-27,105,-246,34,8,-1,-26,104,-245,-3,10,-9,-26,102,-243,14,13,-4,-28,102,-244,10,-4,-4,-28,101,-246,3,8,-9,-27,103,-247,0,13,-7,-26,104,-246,5,10,-17,-27,104,-243,6,32,-35,-26,104,-244,11,20,-14,-27,102,-245,6,11,-18,-26,104,-245,9,4,-9,-27,103,-242,14,14,-18,-26,103,-246,3,4,-17,-27,104,-244,42,13,-13,-26,105,-242,28,6,-15,-28,104,-244,29,-1,-3
idle,-28,103,-247,14,0,-14,-26,104,-245,12,22,-17,-28,102,-245,-7,9,-13,-28,101,-246,3,22,-20,-27,102,-244,12,27,-25,-27,104,-244,14,-1,-9,-26,102,-244,18,16,-18,-27,102,-242,28,0,-22,-26,104,-247,29,-13,-10,-29,101,-242,23,19,-14,-29,103,-245,18,6,-16,-28,104,-240,28,26,-19,-26,103,-245,-10,-8,-15,-28,102,-246,19,3,-5,-30,102,-246,15,19,-9,-27,101,-246,0,19,-15,-28,101,-247,4,18,-17,-28,102,-244,14,18,-15,-26,104,-243,14,10,-5,-28,102,-245,8,7,-4,-29,101,-245,6,17,-18,-27,103,-243,13,18,-23,-27,103,-242,6,24,-22,-27,103,-243,15,1,-19,-29,105,-245,30,7,-5,-29,103,-243,9,19,-9,-27,102,-246,-1,6,-12,-29,103,-244,16,15,-8,-28,103,-243,-4,9,-18,-29,102,-246,7,11,-16
idle,-30,102,-243,37,11,-15,-27,108,-244,43,1,-5,-28,103,-243,9,27,-16,-28,103,-246,17,3,1,-28,101,-243,60,3,3,-27,101,-243,24,10,-15,-28,98,-244,19,14,-17,-27,102,-246,12,22,-11,-27,99,-245,-1,28,-19,-28,99,-246,10,12,-15,-28,101,-243,17,10,-11,-28,101,-245,18,8,-14,-27,103,-245,9,16,-14,-28,100,-244,3,18,-15,-28,100,-245,-9,16,-23,-27,102,-248,-3,17,-23,-28,100,-247,-1,17,-14,-28,98,-246,12,14,-14,-27,100,-245,13,18,-12,-28,101,-243,19,13,-14,-30,102,-244,16,18,-16,-27,103,-242,14,13,-16,-27,101,-242,20,2,-9,-28,104,-245,19,10,-18,-27,100,-243,11,5,-14,-27,100,-244,19,-1,-10,-29,102,-246,27,16,-18,-27,100,-245,39,21,-20,-28,100,-243,-9,5,-23,-30,100,-245,6,14,-25
idle,-29,101,-246,12,-1,-14,-28,103,-246,30,8,-12,-28,103,-246,13,21,-12,-29,102,-245,-10,22,-17,-27,100,-244,-1,23,-16,-27,100,-245,1,14,-17,-28,103,-244,3,16,-16,-29,100,-245,10,8,-10,-27,99,-250,2,17,-17,-28,100,-247,-7,11,-9,-29,99,-247,-1,23,-20,-26,100,-244,18,19,-18,-28,102,-241,35,3,-11,-28,102,-246,10,4,-7,-30,100,-246,5,15,-13,-26,100,-247,-1,5,-5,-29,97,-245,7,28,-12,-27,101,-244,-3,13,-15,-29,103,-246,7,14,-10,-28,100,-247,-2,15,-13,-27,101,-246,2,15,-12,-27,100,-245,-8,16,-12,-25,102,-247,-1,6,-10,-27,97,-249,-4,6,-16,-26,98,-247,12,24,-20,-27,100,-246,15,38,-24,-26,103,-243,14,26,-23,-25,104,-241,38,18,-17,-28,104,-241,14,6,-10,-27,102,-244,9,12,-15
idle,-28,101,-246,8,11,-12,-28,102,-248,18,15,-10,-28,100,-245,12,19,-16,-27,103,-245,-5,16,-13,-27,99,-241,-5,24,-18,-28,99,-246,5,9,-16,-26,101,-247,19,14,-18,-27,99,-246,12,16,-22,-26,102,-244,16,16,-23,-25,101,-246,22,10,-20,-28,101,-245,15,10,-20,-29,100,-247,16,13,-10,-28,101,-246,-5,15,-20,-28,100,-244,13,11,-17,-28,101,-243,13,6,-17,-28,100,-245,17,10,-14,-29,103,-246,27,14,-15,-26,103,-245,18,13,-5,-28,100,-245,-1,14,-23,-26,102,-245,20,8,-14,-27,100,-246,10,6,-14,-28,100,-246,10,22,-20,-27,100,-243,14,14,-24,-26,99,-244,3,14,-23,-29,102,-248,12,11,-12,-28,100,-246,-3,29,-13,-26,100,-242,-2,21,-18,-28,102,-244,27,4,-5,-25,102,-247,-9,25,-17,-27,98,-246,-9,14,-25
idle,-26,102,-245,3,24,-19,-26,101,-240,3,8,-13,-28,99,-245,-23,0,-29,-26,102,-247,18,3,-10,-28,98,-250,10,14,-17,-27,100,-247,3,7,-15,-25,100,-247,9,15,-20,-27,102,-241,4,29,-30,-29,103,-243,21,2,-2,-29,102,-244,18,7,-18,-26,104,-246,24,-1,-16,-27,102,-247,6,5,-22,-27,102,-248,4,18,-14,-29,100,-246,-12,30,-22,-27,102,-244,-5,14,-13,-29,99,-246,10,-3,0,-30,100,-246,5,18,-17,-27,103,-246,3,19,-8,-27,101,-245,-1,8,-1,-27,100,-244,2,12,-11,-29,100,-246,23,8,-8,-26,102,-246,12,19,-21,-30,102,-242,22,7,-17,-28,102,-247,27,11,-17,-28,104,-244,24,12,-7,-29,101,-244,10,19,-11,-29,100,-248,-6,21,-17,-27,101,-244,9,36,-28,-26,101,-244,6,3,-15,-29,100,-246,9,5,-11
idle,-28,100,-246,13,10,-10,-26,101,-245,15,7,-19,-26,101,-244,38,4,-22,-27,103,-244,23,8,-11,-29,102,-246,14,8,-10,-29,100,-248,12,13,-11,-28,100,-246,-2,16,-14,-26,99,-247,22,16,-22,-26,102,-242,35,15,-20,-27,101,-242,38,8,-12,-28,102,-245,24,7,-13,-28,101,-247,15,11,-13,-27,100,-247,0,12,-14,-28,99,-242,17,12,-22,-28,99,-245,22,2,-15,-30,99,-247,23,19,-22,-27,100,-247,7,5,-11,-29,101,-248,17,22,-13,-27,99,-243,-2,28,-29,-28,100,-246,6,10,-11,-28,98,-246,0,11,-5,-28,99,-247,1,14,-9,-27,98,-244,9,19,-22,-29,100,-246,10,22,-29,-29,99,-247,27,12,-16,-27,101,-248,22,20,-12,-27,101,-245,-3,31,-13,-28,100,-246,-1,14,-9,-25,98,-245,-3,13,-8,-27,98,-241,17,19,-19
idle,-29,101,-247,18,-4,-8,-29,100,-246,30,16,-15,-29,100,-247,4,11,-15,-29,101,-245,14,16,-6,-28,99,-244,2,16,-22,-26,100,-245,13,10,-17,-28,98,-248,6,6,-10,-27,98,-246,2,16,-10,-28,100,-245,11,23,-15,-27,99,-243,8,6,-21,-26,101,-246,21,6,-23,-29,98,-245,25,11,-15,-27,103,-245,27,5,-9,-29,100,-249,-1,21,-17,-28,100,-247,-1,31,-19,-26,98,-244,-13,39,-22,-26,100,-246,-31,9,-31,-26,102,-245,14,-1,0,-28,99,-248,1,12,-2,-26,100,-246,19,16,-5,-28,99,-245,19,25,-9,-26,101,-244,26,32,-23,-26,103,-242,25,27,-22,-28,101,-241,10,14,-24,-26,102,-245,9,12,-13,-28,101,-246,-3,13,-19,-25,102,-246,-5,15,-17,-26,102,-246,3,7,-17,-27,100,-247,8,17,-14,-27,104,-245,32,12,2
idle,-26,103,-243,-12,18,-16,-28,99,-245,22,5,-18,-25,99,-245,9,-2,-15,-27,99,-247,1,11,-21,-28,99,-242,27,7,-19,-25,104,-247,29,-4,-8,-26,100,-248,26,-4,3,-27,100,-248,15,18,-8,-26,98,-244,10,24,-12,-28,101,-244,17,16,-16,-27,99,-246,18,9,-15,-27,95,-249,22,17,-17,-26,102,-247,25,28,-12,-26,97,-247,6,18,-2,-27,97,-244,17,9,-13,-28,102,-245,30,2,-2,-27,99,-248,5,14,-11,-26,98,-248,-9,14,-21,-26,100,-247,24,34,-25,-27,97,-243,17,25,-34,-24,101,-244,28,17,-13,-27,103,-246,24,10,-10,-27,102,-246,12,6,-13,-27,98,-247,4,16,-15,-26,99,-244,3,22,-18,-26,96,-247,11,17,-22,-27,96,-247,23,24,-23,-26,100,-246,15,20,-18,-28,101,-246,17,22,-16,-26,100,-244,19,19,-18
idle,-26,99,-245,-7,7,-24,-27,101,-248,24,21,-17,-25,99,-247,21,19,-11,-26,97,-247,23,9,-4,-25,99,-245,13,12,-16,-24,99,-248,10,10,-14,-26,99,-246,-1,24,-12,-25,98,-245,-6,6,-13,-27,95,-246,15,17,-25,-24,100,-247,26,1,-12,-27,99,-248,20,14,-19,-26,98,-246,6,14,-10,-25,99,-247,5,11,-10,-25,99,-246,11,19,-16,-25,98,-246,0,5,-7,-25,98,-247,9,7,-20,-28,97,-248,5,17,-24,-26,100,-249,18,10,-7,-25,98,-247,0,16,-21,-26,99,-247,30,12,-7,-27,99,-244,5,18,-19,-26,100,-247,10,22,-13,-26,98,-247,18,23,-17,-25,97,-247,11,20,-24,-25,99,-247,13,17,-27,-24,98,-248,16,13,-23,-25,100,-247,23,17,-15,-25,98,-245,29,20,-13,-25,98,-246,15,11,-12,-24,100,-245,15,10,-11
idle,-25,100,-245,9,22,-22,-26,99,-247,-13,-1,-14,-26,100,-248,11,13,-4,-24,99,-246,2,4,-9,-25,98,-248,-7,14,-8,-26,96,-245,15,15,-6,-24,98,-244,22,23,-14,-25,101,-249,33,13,-11,-23,98,-246,12,6,-21,-26,97,-248,1,25,-28,-24,99,-247,17,15,-22,-25,100,-246,7,22,-17,-26,100,-246,5,19,-6,-26,99,-245,9,10,-7,-24,99,-246,3,17,-19,-24,95,-243,29,11,-25,-24,101,-248,17,9,-21,-27,99,-247,10,22,-13,-26,101,-245,9,10,-9,-25,101,-246,0,14,-9,-26,96,-246,-5,8,-8,-24,97,-247,11,18,-14,-24,97,-248,16,12,-15,-25,98,-246,10,16,-20,-26,100,-247,20,19,-20,-23,100,-248,8,8,-3,-26,99,-244,-11,19,-22,-25,97,-249,9,17,-23,-25,97,-248,24,20,-18,-24,98,-246,19,18,-9
idle,-27,98,-243,20,19,-21,-23,101,-247,16,1,-18,-26,100,-248,16,20,-14,-24,98,-247,0,14,-13,-25,98,-247,8,23,-15,-24,94,-246,7,17,-21,-23,99,-247,27,5,-9,-26,100,-247,17,11,-10,-25,99,-245,11,22,-14,-25,97,-248,10,12,-20,-24,99,-247,17,11,-14,-25,98,-248,15,20,-20,-25,98,-248,2,25,-25,-25,98,-248,1,26,-21,-23,98,-245,17,20,-13,-26,99,-245,26,11,-14,-25,101,-247,14,4,-9,-25,99,-246,2,11,-11,-25,99,-247,6,7,-14,-24,100,-249,11,25,-15,-25,98,-248,1,19,-17,-23,99,-246,14,12,-15,-25,98,-248,15,12,-13,-24,98,-247,18,14,-18,-24,99,-245,27,16,-18,-23,100,-246,11,10,-14,-24,100,-245,16,10,-13,-24,99,-247,4,19,-16,-25,98,-248,-2,17,-16,-24,97,-247,14,20,-21
idle,-24,97,-246,9,9,-25,-22,100,-247,25,8,-18,-26,98,-247,23,15,-14,-24,100,-244,9,20,-14,-25,100,-245,1,19,-13,-25,97,-246,6,6,-11,-24,98,-248,12,14,-16,-24,97,-248,8,22,-22,-24,97,-248,12,19,-15,-22,98,-245,8,10,-13,-24,99,-245,6,17,-24,-23,100,-246,11,14,-14,-23,99,-248,4,12,-15,-25,97,-247,21,10,-8,-24,100,-242,28,14,-17,-23,100,-246,9,7,-17,-24,100,-249,0,16,-16,-24,99,-246,2,23,-20,-24,101,-245,22,11,-3,-24,99,-246,10,3,-5,-23,101,-247,6,4,-11,-23,96,-249,2,5,-10,-24,96,-248,3,18,-18,-25,98,-247,15,30,-26,-24,99,-246,16,16,-22,-25,100,-247,21,22,-17,-23,100,-245,12,19,-15,-24,103,-247,23,14,-5,-23,99,-246,14,17,-15,-24,97,-244,12,1,-14
idle,-23,102,-247,19,10,-20,-24,99,-248,3,15,-20,-23,99,-248,4,18,-13,-25,97,-245,21,26,-14,-24,101,-245,9,15,-13,-24,99,-245,18,16,-7,-24,99,-246,9,7,-9,-22,100,-246,15,20,-14,-22,101,-247,29,10,-9,-24,98,-246,-1,17,-13,-24,99,-245,24,11,-10,-24,100,-246,11,10,-13,-23,101,-247,8,20,-15,-22,101,-245,9,26,-15,-23,98,-247,1,26,-28,-22,100,-246,18,17,-16,-23,97,-248,21,11,-12,-21,98,-248,-1,24,-26,-23,100,-246,18,17,-13,-21,100,-246,4,19,-10,-23,100,-245,19,11,-2,-22,98,-246,9,10,-8,-21,99,-248,7,16,-12,-22,97,-247,4,15,-15,-22,99,-248,17,16,-16,-21,101,-246,6,12,-15,-23,99,-247,6,14,-18,-22,98,-247,9,27,-20,-21,100,-243,24,10,-15,-21,100,-245,21,1,-10
